Datum;1.Hoe vaak gebruikt u internet per dag?;2.Maakt u zich zorgen over je privacy terwijl u met het internet verbonden bent.;3.Indien u zich zorgen maakt over u privacy, geef het een cijfer van 1-10;4.Indien je een account hebt op Google/Facebook/Youtube/Twitter, heb je het privacybeleid van deze sites gelezen voor je een account aanmaakte?;5.Indien u Facebook hebt, weet u wat Facebook over je verzamelt van gegevens en wat ze hiermee doen?;6.Indien u Youtube hebt, weet u wat Youtube over je verzamelt van gegevens en wat ze hiermee doen?;7.Indien u Google hebt, weet u wat Google over je verzamelt van gegevens en wat ze hiermee doen?;8.Indien u Twitter hebt, weet u wat Twitter over je verzamelt van gegevens en wat ze hiermee doen?;"9.Kent u de service &quot;Google Analytics&quot; die Google aanbiedt?";10.Welke informatie denk u dat u vrijgeeft tijdens het surfen?;11.Weet u wat een cookie is?;12.Verwijdert u regelmatig uw cookies?;13.Weet u wat cachegeheugen is?;14.Verwijdert u regelmatig uw cachegeheugen van de browser?;15.Weet u wat een MAC-adres is?;16.Weet u wat een IP-adres is?;17.Via welke brower surft u het meeste?;"18.Surft u vaak op publieke onbeveiligde netwerken (Wi-Fi), zoals bijvoorbeeld in een caf&eacute; of gewoon op straat?";19.Gebruikt u een VPN tijdens het surfen?;20.Gebruikt u bepaalde manieren om anoniemer te zijn tijdens het surfen?
24/3/2017 om 8u 10m 53s; 4-8 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Naam, woonplaats, interesses, ...; Nee; Geen idee; Nee; Geen idee; Nee; Nee; Google Chrome; Nee; Geen idee wat het is;neen
24/3/2017 om 8u 15m 30s; 4-8 uur per dag; Ja;7; Nee; Ja; Nee; Nee; Nee; Ja;IP adres; Ja; Geen idee; Ja; Geen idee; Ja; Ja; Google Chrome; Ja; Nee;Neen, VPN is enkel als ik surf op het werk
24/3/2017 om 8u 20m 31s; 2-4 uur per dag; Ja;8; Nee; Nee; Nee; Nee; Nee; Nee;Naam, e-mail, interesses, reeds opgezochte sites, ...; Ja; Geen idee; Ja; Geen idee; Nee; Ja; Google Chrome; Ja; Geen idee wat het is;Neen
24/3/2017 om 8u 32m 32s; 1-2 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Mailadressen, contacten, geschiedenis, ...; Ja; Elke dag; Ja; Elke dag; Nee; Ja; Safari; Ja; Nee;Neen
24/3/2017 om 9u 18m 24s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Ja; Nee; Nee; ; Nee;Interesses, locatie, mailadres, geboortedatum, andere persoonlijke gegevens ... alles; Ja; Geen idee; Ja; Geen idee; Nee; Nee; Google Chrome; Nee; Nee;Nee
24/3/2017 om 9u 24m 46s; 4-8 uur per dag; Ja;7; Nee; Nee; Nee; Nee; ; Nee;0; Ja; Geen idee; Nee; Geen idee; Nee; Ja; Google Chrome; Ja; Nee;Nee
24/3/2017 om 9u 33m 55s; 4-8 uur per dag; Ja;8; Nee; Nee; Nee; Nee; ; Nee;Sites die ik bezoek, zoekopdrachten (Google), ...; Nee; Elke maand; Nee; Elke maand; Nee; Ja; Google Chrome; Nee; Geen idee wat het is;Nee, tenzij het incognito venster van Google Chrome beschouwd wordt als anoniemer.
24/3/2017 om 10u 11m 41s; 4-8 uur per dag; Ja;7; Nee; Ja; Ja; Ja; Ja; Ja;surfgedrag, koopgedrag, zoektermen, voorkeuren, locatie, gegevens PC, geschiedenis,...; Ja; Elke maand; Ja; Elke week; Ja; Ja; Mozilla Firefox; Nee; Ja;VPN van private internet Access
24/3/2017 om 10u 14m 09s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Naam, IP adres, locatie; Ja; Geen idee; Ja; Geen idee; Nee; Ja; Google Chrome; Ja; Geen idee wat het is;Nee
24/3/2017 om 10u 26m 30s; 2-4 uur per dag; Ja;6; Nee; Nee; Nee; Nee; Nee; Ja;Surf gedrag, interessesPORNO GESCHIEDENISjwz; Ja; Geen idee; Ja; Elke maand; Ja; Ja; Google Chrome; Ja; Nee;Nah brah#yolo err' day
24/3/2017 om 10u 29m 33s; 2-4 uur per dag; Ja;4; Nee; Nee; ; Nee; Nee; Ja;interessessurfgedrag(alle) persoonlijke gegevens die via accounts zijn aangemaakt ; Ja; Geen idee; Ja; Geen idee; Nee; Ja; Safari; Ja; Nee;neen
24/3/2017 om 10u 36m 33s; 4-8 uur per dag; Ja;8; Ja; Ja; Nee; Ja; Nee; Ja;Welke sites je bezoekt. Wat je interesses zijn. Je locatie. Persoonlijke gegevens...; Ja; Elke dag; Ja; Geen idee; Nee; Ja; Safari; Ja; Nee;Surfen via privé modus. #porno
24/3/2017 om 23u 15m 08s; 2-4 uur per dag; Nee;Vraag werd niet getoond aan de respondent omwille van een vertakking van een vorige vraag; Nee; Nee; Nee; Nee; Nee; Nee;Surfgedrag (bezochte sites, koopgedrag)naam, mogelijks telefoonnr + adresleeftijd, algemene interessen; Ja; Geen idee; Ja; Elke maand; Ja; Ja; Google Chrome; Ja; Nee;/
24/3/2017 om 10u 41m 15s; 2-4 uur per dag; Ja;8; Nee; Nee; Nee; Nee; Nee; Nee;onderwerpen naar waar je op zoek bent; Ja; Geen idee; Nee; Geen idee; Ja; Ja; Google Chrome; Ja; Geen idee wat het is;nee
